Pacific Decadal Oscillation (PDO)
Date,Value
185401,0.29
185402,0.02
185403,-0.12
185404,-0.11
185405,-0.10
185406,0.11
185407,-0.44
185408,-0.89
185409,-1.02
185410,-1.38
185411,-1.59
185412,-1.32
185501,0.16
185502,0.37
185503,0.54
185504,-0.05
185505,-0.57
185506,-0.75
185507,-0.71
185508,-0.21
185509,-0.46
185510,0.10
185511,0.37
185512,0.92
185601,1.07
185602,1.25
185603,0.80
185604,0.21
185605,-0.23
185606,-0.09
185607,-0.07
185608,-0.47
185609,-0.63
185610,-0.31
185611,0.18
185612,0.18
185701,-0.30
185702,-0.70
185703,-0.63
185704,-0.24
185705,0.77
185706,1.36
185707,1.19
185708,1.32
185709,0.60
185710,0.62
185711,0.82
185712,0.55
185801,0.15
185802,-0.18
185803,-0.57
185804,-0.07
185805,0.27
185806,0.65
185807,0.22
185808,0.26
185809,0.33
185810,0.29
185811,0.43
185812,0.28
185901,-0.14
185902,-0.32
185903,-0.90
185904,-1.13
185905,-1.06
185906,-0.74
185907,-0.78
185908,-0.59
185909,-0.77
185910,-0.47
185911,-0.39
185912,-0.75
186001,-0.82
186002,-0.94
186003,-1.05
186004,-0.89
186005,-0.62
186006,-0.48
186007,-0.70
186008,-0.25
186009,-0.27
186010,-0.49
186011,-0.79
186012,-0.76
186101,-0.69
186102,-0.54
186103,-0.52
186104,-0.46
186105,-0.48
186106,-0.34
186107,-0.38
186108,-0.35
186109,-0.42
186110,-0.53
186111,-0.56
186112,-0.55
186201,0.18
186202,0.16
186203,0.15
186204,0.22
186205,0.31
186206,0.86
186207,0.41
186208,0.36
186209,0.27
186210,0.24
186211,0.20
186212,0.10
186301,0.59
186302,0.61
186303,0.62
186304,0.66
186305,0.63
186306,0.73
186307,0.60
186308,0.75
186309,1.00
186310,1.31
186311,1.31
186312,0.88
186401,0.68
186402,0.64
186403,0.60
186404,0.55
186405,0.53
186406,0.67
186407,0.62
186408,0.65
186409,0.62
186410,0.61
186411,0.61
186412,0.58
186501,0.42
186502,0.44
186503,0.42
186504,0.45
186505,0.42
186506,0.55
186507,0.52
186508,0.53
186509,0.44
186510,0.48
186511,0.49
186512,0.46
186601,0.31
186602,0.31
186603,0.29
186604,0.31
186605,0.24
186606,0.40
186607,0.41
186608,0.37
186609,0.47
186610,0.41
186611,0.39
186612,0.35
186701,0.35
186702,0.28
186703,0.01
186704,0.09
186705,0.04
186706,0.17
186707,0.03
186708,0.19
186709,0.16
186710,0.32
186711,0.38
186712,0.42
186801,0.01
186802,0.01
186803,-0.01
186804,0.02
186805,-0.01
186806,0.11
186807,0.06
186808,0.11
186809,0.10
186810,0.10
186811,0.07
186812,-0.07
186901,-0.51
186902,-0.37
186903,-0.23
186904,-0.05
186905,-0.14
186906,0.05
186907,0.14
186908,0.10
186909,0.07
186910,0.14
186911,0.02
186912,-0.24
187001,-0.13
187002,-0.38
187003,-0.62
187004,-0.60
187005,-0.63
187006,-0.26
187007,-0.26
187008,0.00
187009,-0.27
187010,-0.34
187011,-0.37
187012,-0.37
187101,-0.15
187102,-0.45
187103,-0.40
187104,-0.34
187105,-0.33
187106,-0.15
187107,-0.29
187108,-0.20
187109,-0.26
187110,-0.24
187111,-0.26
187112,-0.32
187201,-0.20
187202,-0.08
187203,-0.24
187204,-0.30
187205,-0.31
187206,-0.44
187207,-0.39
187208,-0.22
187209,-0.55
187210,-1.19
187211,-1.27
187212,-1.60
187301,-1.58
187302,-1.15
187303,-0.59
187304,-0.27
187305,-0.20
187306,0.01
187307,-0.33
187308,-0.72
187309,-0.90
187310,-0.61
187311,-0.57
187312,-0.55
187401,-0.55
187402,-0.27
187403,0.01
187404,0.04
187405,-0.38
187406,-0.57
187407,-0.69
187408,-0.59
187409,-0.49
187410,-0.27
187411,-0.17
187412,-0.11
187501,-0.42
187502,-0.65
187503,-0.37
187504,-0.16
187505,-0.66
187506,-1.09
187507,-1.27
187508,-0.95
187509,-0.68
187510,-0.39
187511,-0.30
187512,-0.30
187601,-0.60
187602,-0.52
187603,-0.87
187604,-1.24
187605,-1.20
187606,-0.75
187607,-1.95
187608,-2.35
187609,-1.93
187610,-1.34
187611,-0.59
187612,-0.67
187701,-0.43
187702,-0.33
187703,-0.26
187704,-0.27
187705,-0.35
187706,-0.17
187707,-0.27
187708,-0.05
187709,-0.15
187710,0.15
187711,0.58
187712,0.75
187801,0.67
187802,0.70
187803,0.76
187804,1.29
187805,1.15
187806,1.56
187807,1.15
187808,0.79
187809,-1.39
187810,-0.83
187811,-0.02
187812,0.31
187901,0.08
187902,0.05
187903,0.34
187904,0.82
187905,-0.86
187906,-0.45
187907,-1.22
187908,0.02
187909,-0.20
187910,0.25
187911,-0.05
187912,0.06
188001,-0.25
188002,-0.66
188003,-0.97
188004,-1.59
188005,-2.62
188006,-1.33
188007,-1.47
188008,-1.40
188009,-1.28
188010,-0.49
188011,0.00
188012,-0.21
188101,-0.05
188102,0.56
188103,0.62
188104,1.64
188105,0.85
188106,0.80
188107,-0.44
188108,-0.30
188109,0.04
188110,-0.17
188111,0.69
188112,-0.49
188201,-1.80
188202,-2.26
188203,-2.62
188204,-2.32
188205,-1.22
188206,-0.65
188207,-0.96
188208,-0.71
188209,-1.18
188210,-0.78
188211,-0.47
188212,0.44
188301,-0.35
188302,-1.20
188303,-1.36
188304,-0.62
188305,-0.26
188306,0.20
188307,-1.26
188308,-1.61
188309,-1.64
188310,-1.63
188311,-1.00
188312,-0.80
188401,-1.09
188402,-1.77
188403,-1.66
188404,-0.52
188405,0.16
188406,1.26
188407,1.35
188408,1.27
188409,0.21
188410,0.71
188411,1.28
188412,1.53
188501,1.64
188502,1.14
188503,1.56
188504,1.70
188505,1.78
188506,1.86
188507,1.52
188508,0.89
188509,1.11
188510,1.49
188511,0.79
188512,0.60
188601,0.66
188602,0.83
188603,0.51
188604,0.45
188605,-0.17
188606,-0.17
188607,-0.37
